Unit ID	Timestamp	Primary_root_length_S1	Primary_root_length_S2	Primary_root_length_S3	Primary_root_length_S4	Primary_root_length_S5	Primary_root_length_S6	Primary_root_length_S7	Primary_root_length_S8	Primary_root_length_S9	Primary_root_length_S10	Primary_root_length_S11	Primary_root_length_S12	Primary_root_length_S13	Primary_root_length_S14	Primary_root_length_S15	Primary_root_length_S16	Primary_root_length_S17	Primary_root_length_S18	Primary_root_length_S19	Primary_root_length_S20	Lateral_root_length_S1	Lateral_root_length_S2	Lateral_root_length_S3	Lateral_root_length_S4	Lateral_root_length_S5	Lateral_root_length_S6	Lateral_root_length_S7	Lateral_root_length_S8	Lateral_root_length_S9	Lateral_root_length_S10	Lateral_root_length_S11	Lateral_root_length_S12	Lateral_root_length_S13	Lateral_root_length_S14	Lateral_root_length_S15	Lateral_root_length_S16	Lateral_root_length_S17	Lateral_root_length_S18	Lateral_root_length_S19	Lateral_root_length_S20	Seminal_nodal_root_length_S1	Seminal_nodal_root_length_S2	Seminal_nodal_root_length_S3	Seminal_nodal_root_length_S4	Seminal_nodal_root_length_S5	Seminal_nodal_root_length_S6	Seminal_nodal_root_length_S7	Seminal_nodal_root_length_S8	Seminal_nodal_root_length_S9	Seminal_nodal_root_length_S10	Seminal_nodal_root_length_S11	Seminal_nodal_root_length_S12	Seminal_nodal_root_length_S13	Seminal_nodal_root_length_S14	Seminal_nodal_root_length_S15	Seminal_nodal_root_length_S16	Seminal_nodal_root_length_S17	Seminal_nodal_root_length_S18	Seminal_nodal_root_length_S19	Seminal_nodal_root_length_S20	Total_root_length_S1	Total_root_length_S2	Total_root_length_S3	Total_root_length_S4	Total_root_length_S5	Total_root_length_S6	Total_root_length_S7	Total_root_length_S8	Total_root_length_S9	Total_root_length_S10	Total_root_length_S11	Total_root_length_S12	Total_root_length_S13	Total_root_length_S14	Total_root_length_S15	Total_root_length_S16	Total_root_length_S17	Total_root_length_S18	Total_root_length_S19	Total_root_length_S20	
115	2019_11_11	2.1	4.3	3.6	3.9	3.3	3.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.8	22.3	22.2	28.1	19.9	14.8	13.7	10.5	9.2	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.9	19.9	12.8	17.0	19.0	17.7	15.5	10.5	9.0	4.8	8.0	9.3	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.8	46.5	38.6	49.1	42.3	35.7	29.2	21.0	18.2	5.7	8.0	9.3	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
116	2019_11_11	3.8	2.5	2.1	1.1	2.9	3.2	3.6	4.1	4.0	3.9	3.5	3.6	3.6	3.1	0.0	0.0	0.0	0.0	0.0	0.0	34.2	38.9	22.5	15.2	9.4	1.3	0.8	1.3	0.3	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	16.4	12.6	8.3	9.4	10.3	7.8	6.5	6.1	3.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	57.8	37.2	24.6	21.8	14.7	12.2	11.9	10.3	8.5	3.5	3.6	3.6	3.1	0.0	0.0	0.0	0.0	0.0	0.0	
117	2019_11_11	0.0	0.0	0.0	0.0	3.2	4.1	3.5	4.0	3.9	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.4	20.9	15.8	18.1	26.8	1.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	27.0	23.5	12.7	14.8	11.0	6.1	6.6	3.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.4	47.9	39.3	30.7	44.8	16.8	9.6	10.6	7.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
118	2019_11_11	4.7	2.0	0.7	0.0	0.6	1.6	2.0	3.8	3.0	3.4	3.9	3.9	3.5	3.3	4.0	3.8	0.0	0.0	0.0	0.0	59.9	33.6	14.9	19.1	26.2	8.0	5.7	3.3	5.0	2.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.7	11.6	9.4	7.2	11.3	12.6	6.7	6.1	6.9	8.0	3.4	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.2	47.1	25.0	26.2	38.0	22.2	14.4	13.2	14.8	14.2	7.4	4.7	3.5	3.3	4.0	3.8	0.0	0.0	0.0	0.0	
201	2019_11_11	3.3	3.9	3.4	3.2	2.8	3.6	4.1	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.7	19.4	17.5	20.5	8.5	5.1	3.2	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	22.9	13.7	10.0	14.5	8.6	11.1	4.6	2.5	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	46.2	34.6	33.7	25.7	17.3	18.4	6.8	2.5	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
202	2019_11_11	3.4	3.3	0.0	0.0	0.0	0.0	0.0	3.5	4.1	4.0	3.5	3.7	4.1	4.1	3.6	3.8	1.0	0.0	0.0	0.0	49.4	25.1	16.8	19.8	40.6	24.0	21.5	17.5	14.2	13.0	6.5	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.3	5.6	1.6	2.1	5.0	9.8	9.3	6.6	7.0	5.7	3.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.2	34.0	18.3	21.9	45.6	33.8	30.7	27.7	25.4	22.7	13.3	4.1	4.1	4.1	3.6	3.8	1.0	0.0	0.0	0.0	
203	2019_11_11	2.9	2.0	0.0	3.4	0.0	0.0	0.0	0.0	0.0	2.8	4.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.6	16.9	12.2	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.6	11.3	7.0	6.4	5.2	6.1	2.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.2	30.2	19.2	11.1	5.2	6.1	2.7	0.0	0.0	2.8	4.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
204	2019_11_11	1.4	1.0	2.2	3.8	4.1	3.9	3.9	3.9	3.8	3.3	3.4	3.5	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.7	65.1	41.8	22.2	23.3	7.0	2.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.4	14.9	13.6	16.4	8.8	13.0	8.6	10.0	7.9	3.9	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.6	80.9	57.6	42.4	36.2	23.9	15.3	13.9	11.8	7.2	3.7	3.5	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
205	2019_11_11	3.7	1.7	1.3	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.3	55.0	49.1	40.5	13.0	20.4	16.0	9.5	3.2	3.4	2.4	3.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.6	15.4	16.6	6.6	13.2	17.5	16.9	19.6	21.7	21.5	19.4	17.1	10.3	8.7	5.8	3.9	4.0	0.1	0.0	0.0	82.6	72.0	67.1	47.5	26.2	37.9	32.8	29.0	24.9	24.8	21.9	20.9	10.3	8.7	5.8	3.9	4.0	0.1	0.0	0.0	
206	2019_11_11	2.5	2.6	3.5	3.7	3.6	3.7	3.9	3.9	3.9	3.3	3.9	4.0	3.8	3.7	2.6	0.9	2.9	3.4	3.3	0.0	36.7	59.3	44.6	36.7	44.8	30.8	18.9	10.0	7.3	5.3	5.2	4.7	1.7	1.3	0.0	0.0	0.0	0.0	0.0	0.0	30.2	21.8	14.2	14.7	15.5	14.8	12.7	8.5	4.0	5.4	6.0	2.9	3.7	2.5	0.0	0.0	0.0	0.0	0.0	0.0	69.5	83.7	62.3	55.1	63.9	49.2	35.5	22.4	15.2	14.1	15.1	11.6	9.2	7.6	2.6	0.9	2.9	3.4	3.3	0.0	
207	2019_11_11	2.2	2.1	3.5	3.9	3.9	3.8	4.3	4.0	3.9	4.0	3.7	4.0	3.9	3.7	4.2	2.2	0.0	0.0	0.0	0.0	12.1	34.3	38.2	9.4	3.2	3.3	2.5	1.0	3.2	2.6	1.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.3	19.8	13.9	16.4	16.2	15.5	14.6	12.4	5.7	2.9	3.8	2.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.5	56.2	55.5	29.7	23.4	22.6	21.3	17.3	12.8	9.5	8.5	7.0	3.9	3.7	4.2	2.2	0.0	0.0	0.0	0.0	
208	2019_11_11	0.7	3.1	3.0	2.2	3.4	4.1	3.7	0.0	0.5	0.0	1.7	4.0	3.9	0.7	0.0	0.0	0.0	0.0	0.0	0.0	8.8	17.4	12.0	7.3	8.4	4.3	4.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.8	11.9	5.8	1.0	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.2	32.4	20.8	10.5	13.2	8.4	7.6	5.0	0.5	0.0	1.7	4.0	3.9	0.7	0.0	0.0	0.0	0.0	0.0	0.0	
209	2019_11_11	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.6	22.9	10.9	17.1	7.4	3.3	3.5	21.9	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.8	21.0	17.0	10.0	5.2	1.5	3.7	5.3	4.6	3.7	3.5	3.4	3.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.1	43.9	27.9	27.1	12.6	4.8	7.2	27.2	8.1	3.7	3.5	3.4	3.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
210	2019_11_11	3.4	3.4	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.3	10.9	5.4	3.8	6.2	4.0	1.6	0.8	1.8	0.8	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.8	19.7	17.1	14.4	13.5	8.6	9.6	9.1	10.6	7.6	3.9	2.9	0.1	0.4	0.0	0.0	0.0	0.0	0.0	0.0	38.5	34.0	23.5	18.2	19.6	12.6	11.2	9.8	12.4	8.4	4.2	2.9	0.1	0.4	0.0	0.0	0.0	0.0	0.0	0.0	
211	2019_11_11	2.7	1.9	2.1	2.8	0.4	0.0	1.1	3.5	3.3	2.1	1.9	3.0	3.7	3.2	2.5	3.7	3.2	2.7	0.5	0.0	50.0	46.7	41.8	43.6	20.5	11.0	11.1	9.7	5.8	1.7	4.1	3.6	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.2	3.8	9.1	6.8	9.1	7.5	10.1	9.2	9.9	7.0	6.3	4.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	52.4	53.0	53.1	30.1	18.5	22.2	22.4	19.0	10.8	12.3	11.2	4.6	3.2	2.5	3.7	3.2	2.7	0.5	0.0	
212	2019_11_11	2.4	2.0	0.4	0.0	0.3	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.1	32.0	34.6	40.7	40.9	25.8	22.2	17.5	5.1	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.5	13.3	8.9	8.1	10.0	15.1	15.9	24.1	22.2	15.6	11.6	10.7	9.3	4.9	3.6	2.3	0.0	0.0	0.0	0.0	66.0	47.4	44.0	48.8	51.2	41.3	38.1	41.6	27.3	17.0	11.6	10.7	9.3	4.9	3.6	2.3	0.0	0.0	0.0	0.0	
213	2019_11_11	2.2	2.5	2.7	0.0	0.0	0.0	0.1	3.9	4.0	4.0	3.9	3.8	3.9	3.0	0.2	0.0	0.0	0.0	0.0	0.0	48.7	29.8	23.8	15.7	13.8	9.3	18.6	10.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	20.2	8.8	10.4	13.6	11.4	9.9	3.9	3.5	3.6	4.1	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	52.5	35.2	26.1	27.3	20.7	28.6	17.8	8.9	7.6	8.0	4.3	3.9	3.0	0.2	0.0	0.0	0.0	0.0	0.0	
214	2019_11_11	0.2	1.7	2.1	2.2	2.1	2.7	1.9	2.1	3.3	3.7	3.8	3.9	4.2	1.9	3.0	1.2	0.0	0.0	0.0	0.0	6.2	17.4	19.0	13.6	11.9	6.0	5.2	11.7	12.6	10.6	3.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.7	15.8	16.9	13.1	5.7	0.6	0.0	1.2	4.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.2	34.8	38.0	28.9	19.7	9.3	7.1	15.0	20.1	14.3	7.1	3.9	4.2	1.9	3.0	1.2	0.0	0.0	0.0	0.0	
215	2019_11_11	2.4	2.7	0.6	2.7	2.9	3.8	4.0	3.8	3.9	3.9	2.7	3.2	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.4	41.3	62.1	33.1	34.2	29.3	12.9	9.0	1.0	1.4	3.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.8	20.1	13.8	10.4	7.1	14.1	13.9	14.1	8.2	8.7	5.1	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.6	64.0	76.6	46.2	44.1	47.2	30.8	26.7	13.0	14.1	10.7	4.4	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
216	2019_11_11	2.7	0.0	0.0	0.0	0.6	2.6	0.0	0.0	0.0	1.8	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.8	13.6	6.3	8.0	4.1	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.6	17.0	15.8	16.1	5.7	2.8	8.6	9.8	10.2	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.1	30.6	22.1	24.1	10.4	6.8	8.6	9.8	10.2	3.3	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
217	2019_11_11	0.0	2.3	2.2	1.0	3.3	3.8	3.9	4.1	4.2	3.8	3.3	3.7	4.0	3.6	3.9	3.7	0.3	0.0	0.0	0.0	15.9	14.9	7.1	5.9	6.3	8.2	2.9	2.9	3.6	1.6	1.7	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.4	5.3	7.0	9.9	14.2	12.3	8.8	4.2	7.8	7.8	7.0	3.4	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.3	22.5	16.4	16.7	23.8	24.3	15.5	11.1	15.6	13.1	12.0	7.4	5.5	3.6	3.9	3.7	0.3	0.0	0.0	0.0	
218	2019_11_11	1.5	3.1	3.1	3.7	3.5	3.7	4.2	4.1	3.9	3.2	3.8	3.8	3.5	2.1	2.6	2.3	3.5	3.7	4.2	4.8	13.3	37.2	34.9	30.4	37.6	47.1	40.9	20.0	11.9	14.2	5.5	0.8	3.1	0.5	4.8	1.0	0.0	0.0	0.0	0.0	16.8	18.3	8.1	5.1	5.8	6.5	6.6	8.0	7.9	6.7	3.9	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.6	58.7	46.1	39.2	46.8	57.3	51.6	32.1	23.7	24.0	13.1	6.9	6.6	2.6	7.4	3.3	3.5	3.7	4.2	4.8	
